arxiv_id,title,summary,published,updated,html_url,pdf_url,authors,affiliations,countries,primary_category,categories
http://arxiv.org/abs/0705.1367v1,Logic Column 18: Alternative Logics: A Book Review,"  This article discusses two books on the topic of alternative logics in
science: ""Deviant Logic"", by Susan Haack, and ""Alternative Logics: Do Sciences
Need Them?"", edited by Paul Weingartner.
",2007-05-09T21:56:15Z,2007-05-09T21:56:15Z,http://arxiv.org/abs/0705.1367v1,http://arxiv.org/pdf/0705.1367v1,Riccardo Pucella,Unknown,,cs.LO,
http://arxiv.org/abs/1103.1977v1,"Development of Computer Science Disciplines - A Social Network Analysis
  Approach","  In contrast to many other scientific disciplines, computer science considers
conference publications. Conferences have the advantage of providing fast
publication of papers and of bringing researchers together to present and
discuss the paper with peers. Previous work on knowledge mapping focused on the
map of all sciences or a particular domain based on ISI published JCR (Journal
Citation Report). Although this data covers most of important journals, it
lacks computer science conference and workshop proceedings. That results in an
imprecise and incomplete analysis of the computer science knowledge. This paper
presents an analysis on the computer science knowledge network constructed from
all types of publications, aiming at providing a complete view of computer
science research. Based on the combination of two important digital libraries
(DBLP and CiteSeerX), we study the knowledge network created at
journal/conference level using citation linkage, to identify the development of
sub-disciplines. We investigate the collaborative and citation behavior of
journals/conferences by analyzing the properties of their co-authorship and
citation subgraphs. The paper draws several important conclusions. First,
conferences constitute social structures that shape the computer science
knowledge. Second, computer science is becoming more interdisciplinary. Third,
experts are the key success factor for sustainability of journals/conferences.
",2011-03-10T09:51:19Z,2011-03-10T09:51:19Z,http://arxiv.org/abs/1103.1977v1,http://arxiv.org/pdf/1103.1977v1,"Manh Cuong Pham, Ralf Klamma, Matthias Jarke","Unknown, Unknown, Unknown",,cs.DL,
http://arxiv.org/abs/1310.7911v2,Compact manifolds with computable boundaries,"  We investigate conditions under which a co-computably enumerable closed set
in a computable metric space is computable and prove that in each locally
computable computable metric space each co-computably enumerable compact
manifold with computable boundary is computable. In fact, we examine the notion
of a semi-computable compact set and we prove a more general result: in any
computable metric space each semi-computable compact manifold with computable
boundary is computable. In particular, each semi-computable compact
(boundaryless) manifold is computable.
",2013-10-29T18:29:13Z,2013-12-09T21:56:24Z,http://arxiv.org/abs/1310.7911v2,http://arxiv.org/pdf/1310.7911v2,Zvonko Iljazovic,University of Zagreb,,cs.LO,math.LO
http://arxiv.org/abs/1710.03090v1,Theoretical Computer Science for the Working Category Theorist,"  Theoretical computer science discusses foundational issues about
computations. It asks and answers questions such as ""What is a computation?"",
""What is computable?"", ""What is efficiently computable?"",""What is
information?"", ""What is random?"", ""What is an algorithm?"", etc. We will present
many of the major themes and theorems with the basic language of category
theory. Surprisingly, many interesting theorems and concepts of theoretical
computer science are easy consequences of functoriality and composition when
you look at the right categories and functors connecting them.
",2017-10-04T19:19:00Z,2017-10-04T19:19:00Z,http://arxiv.org/abs/1710.03090v1,http://arxiv.org/pdf/1710.03090v1,Noson S. Yanofsky,Unknown,,cs.LO,"cs.CC, math.CT, 03D75, 68Q30, 18D10"
http://arxiv.org/abs/1807.09490v1,"Investigating the Intersection of Science Fiction, Human-Computer
  Interaction and Computer Science Research","  This paper outlines ongoing dissertation research located in the intersection
of science fiction, human-computer interaction and computer science. Through an
interdisciplinary perspective, drawing from fields such as human-computer
interaction, film theory and studies of science and technology, qualitative and
quantitative content analysis techniques are used to contextually analyze
expressions of science fiction in peer-reviewed computer science research
repositories, such as the ACM or IEEE Xplore Digital Libraries. This paper
concisely summarizes and introduces the relationship of science fiction and
computer science research and presents the research questions, aims and
implications in addition to prior work and study methodology. In the latter
part of this work-in-progress report, preliminary results, current limitations,
future work and a post-dissertation trajectory are outlined.
",2018-07-25T09:02:02Z,2018-07-25T09:02:02Z,http://arxiv.org/abs/1807.09490v1,http://arxiv.org/pdf/1807.09490v1,Philipp Jordan,Unknown,,cs.HC,
http://arxiv.org/abs/1401.4507v1,Using Quantum Computers to Learn Physics,"  Since its inception at the beginning of the twentieth century, quantum
mechanics has challenged our conceptions of how the universe ought to work;
however, the equations of quantum mechanics can be too computationally
difficult to solve using existing computers for even modestly large systems.
Here I will show that quantum computers can sometimes be used to address such
problems and that quantum computer science can assign formal complexities to
learning facts about nature. Hence, computer science should not only be
regarded as an applied science; it is also of central importance to the
foundations of science.
",2014-01-18T01:46:52Z,2014-01-18T01:46:52Z,http://arxiv.org/abs/1401.4507v1,http://arxiv.org/pdf/1401.4507v1,Nathan Wiebe,Unknown,,quant-ph,
http://arxiv.org/abs/2202.01291v1,Computer sciences and synthesis: retrospective and perspective,"  The problem of synthesis in computer sciences, including cybernetics,
artificial intelligence and system analysis, is analyzed. Main methods of
realization this problem are discussed. Ways of search universal method of
creation universal synthetic science are represented. As example of such
universal method polymetric analysis is given. Perspective of further
development of this research, including application polymetric method for the
resolution main problems of computer sciences, is analyzed too.
",2022-01-26T04:42:45Z,2022-01-26T04:42:45Z,http://arxiv.org/abs/2202.01291v1,http://arxiv.org/pdf/2202.01291v1,"Vladislav Dorofeev, Petro Trokhimchuk","Unknown, Unknown",,cs.AI,
http://arxiv.org/abs/2201.05852v1,Data Science in Perspective,"  Data and Science has stood out in the generation of results, whether in the
projects of the scientific domain or business domain. CERN Project, Scientific
Institutes, companies like Walmart, Google, Apple, among others, need data to
present their results and make predictions in the competitive data world. Data
and Science are words that together culminated in a globally recognized term
called Data Science. Data Science is in its initial phase, possibly being part
of formal sciences and also being presented as part of applied sciences,
capable of generating value and supporting decision making. Data Science
considers science and, consequently, the scientific method to promote decision
making through data intelligence. In many cases, the application of the method
(or part of it) is considered in Data Science projects in scientific domain
(social sciences, bioinformatics, geospatial projects) or business domain
(finance, logistic, retail), among others. In this sense, this article
addresses the perspectives of Data Science as a multidisciplinary area,
considering science and the scientific method, and its formal structure which
integrate Statistics, Computer Science, and Business Science, also taking into
account Artificial Intelligence, emphasizing Machine Learning, among others.
The article also deals with the perspective of applied Data Science, since Data
Science is used for generating value through scientific and business projects.
Data Science persona is also discussed in the article, concerning the education
of Data Science professionals and its corresponding profiles, since its
projection changes the field of data in the world.
",2022-01-15T13:51:12Z,2022-01-15T13:51:12Z,http://arxiv.org/abs/2201.05852v1,http://arxiv.org/pdf/2201.05852v1,Rogerio Rossi,Unknown,,cs.GL,
http://arxiv.org/abs/1011.1335v1,"A short proof that adding some permutation rules to $β$ preserves
  $SN$","  I show that, if a term is $SN$ for $\beta$, it remains $SN$ when some
permutation rules are added.
",2010-11-05T07:54:47Z,2010-11-05T07:54:47Z,http://arxiv.org/abs/1011.1335v1,http://arxiv.org/pdf/1011.1335v1,Rene David,Unknown,,cs.LO,
http://arxiv.org/abs/1606.01148v1,Tripartite Unions,"  This note provides conditions under which the union of three well-founded
binary relations is also well-founded.
",2016-06-03T15:41:55Z,2016-06-03T15:41:55Z,http://arxiv.org/abs/1606.01148v1,http://arxiv.org/pdf/1606.01148v1,Nachum Dershowitz,Unknown,,cs.LO,
http://arxiv.org/abs/1607.03760v1,Distributed Games and Strategies,"  A summary of work on distributed games and strategies done within the first
three years of the ERC project ECSYM is presented.
",2016-07-13T14:25:03Z,2016-07-13T14:25:03Z,http://arxiv.org/abs/1607.03760v1,http://arxiv.org/pdf/1607.03760v1,Glynn Winskel,Unknown,,cs.LO,cs.GT
http://arxiv.org/abs/2105.01707v1,ABET Accreditation: A Way Forward for PDC Education,"  With parallel and distributed computing (PDC) now wide-spread, modern
computing programs must incorporate PDC within the curriculum. ACM and IEEE
Computer Society's Computer Science curricular guidelines have recommended
exposure to PDC concepts since 2013. More recently, a variety of initiatives
have made PDC curricular content, lectures, and labs freely available for
undergraduate computer science programs. Despite these efforts, progress in
ensuring computer science students graduate with sufficient PDC exposure has
been uneven.
  This paper discusses the impact of ABET's revised criteria that have required
exposure to PDC to achieve accreditation for computer science programs since
2018. The authors reviewed 20 top ABET-accredited computer science programs and
analyzed how they covered the required PDC components in their curricula. Using
their own institutions as case studies, the authors examine in detail how three
different ABET-accredited computer science programs covered PDC using different
approaches, yet meeting the PDC requirements of these ABET criteria. The paper
also shows how ACM/IEEE Computer Society curricular guidelines for computer
engineering and software engineering programs, along with ABET accreditation
criteria, can cover PDC.
",2021-05-04T18:58:18Z,2021-05-04T18:58:18Z,http://arxiv.org/abs/2105.01707v1,http://arxiv.org/pdf/2105.01707v1,"Sherif G. Aly, Haidar Harmanani, Rajendra K. Raj, Sanaa Sharafeddine","Unknown, Unknown, Unknown, Unknown",,cs.DC,
http://arxiv.org/abs/2002.04020v1,Cloudifying the Curriculum with AWS,"  The Cloud has become a principal paradigm of computing in the last ten years,
and Computer Science curricula must be updated to reflect that reality. This
paper examines simple ways to accomplish curriculum cloudification using Amazon
Web Services (AWS), for Computer Science and other disciplines such as
Business, Communication and Mathematics.
",2020-02-10T18:47:35Z,2020-02-10T18:47:35Z,http://arxiv.org/abs/2002.04020v1,http://arxiv.org/pdf/2002.04020v1,Michael Soltys,Unknown,,cs.CY,
http://arxiv.org/abs/cs/0608062v2,Tarski's influence on computer science,"  The influence of Alfred Tarski on computer science was indirect but
significant in a number of directions and was in certain respects fundamental.
Here surveyed is the work of Tarski on the decision procedure for algebra and
geometry, the method of elimination of quantifiers, the semantics of formal
languages, modeltheoretic preservation theorems, and algebraic logic; various
connections of each with computer science are taken up.
",2006-08-15T16:40:24Z,2006-09-27T09:43:52Z,http://arxiv.org/abs/cs/0608062v2,http://arxiv.org/pdf/cs/0608062v2,Solomon Feferman,Unknown,,cs.GL,"cs.LO, F.4.1; F.4.3"
http://arxiv.org/abs/1111.4755v1,"Saying Hello World with MOLA - A Solution to the TTC 2011 Instructive
  Case","  This paper describes the solution of Hello World transformations in MOLA
transformation language. Transformations implementing the task are relatively
straightforward and easily inferable from the task specification. The required
additional steps related to model import and export are also described.
",2011-11-21T05:26:57Z,2011-11-21T05:26:57Z,http://arxiv.org/abs/1111.4755v1,http://arxiv.org/pdf/1111.4755v1,"Elina Kalnina, Audris Kalnins, Agris Sostaks, Janis Iraids, Edgars Celms","Institute of Mathematics and Computer Science, University of Latvia, Institute of Mathematics and Computer Science, University of Latvia, Institute of Mathematics and Computer Science, University of Latvia, Institute of Mathematics and Computer Science, University of Latvia, Institute of Mathematics and Computer Science, University of Latvia",,cs.PL,cs.SE
http://arxiv.org/abs/2206.03276v1,Oxford-style Debates in Telecommunication and Computer Science Education,"  Oxford-style debating is a well-known tool in social sciences. Such formal
discussions on particular topics are widely used by historians and
sociologists. However, when we try to go beyond standard thinking, it turns out
that Oxford-style debating can be a great educational tool in telecommunication
and computer science. This article presents this unusual method of education at
technical universities and in the IT industry, and describes its features and
challenges. Best practices and examples of debating are provided, taking into
account emerging topics in telecommunications and computer science, such as
cybersecurity. The article also contains feedback from IT engineers who
participated in Oxford-style debates. All this aims to encourage this form of
education in telecommunication and computer science.
",2022-06-03T10:42:31Z,2022-06-03T10:42:31Z,http://arxiv.org/abs/2206.03276v1,http://arxiv.org/pdf/2206.03276v1,Marcin Niemiec,Unknown,,cs.CY,
http://arxiv.org/abs/1404.5458v1,"Complex Workflow Management and Integration of Distributed Computing
  Resources by Science Gateway Portal for Molecular Dynamics Simulations in
  Materials Science","  The ""IMP Science Gateway Portal"" (http://scigate.imp.kiev.ua) for complex
workflow management and integration of distributed computing resources (like
clusters, service grids, desktop grids, clouds) is presented. It is created on
the basis of WS-PGRADE and gUSE technologies, where WS-PGRADE is designed for
science workflow operation and gUSE - for smooth integration of available
resources for parallel and distributed computing in various heterogeneous
distributed computing infrastructures (DCI). The typical scientific workflow
with possible scenarios of its preparation and usage is considered. Several
typical science applications (scientific workflows) are considered for
molecular dynamics (MD) simulations of complex behavior of various
nanostructures (nanoindentation of graphene layers, defect system relaxation in
metal nanocrystals, thermal stability of boron nitride nanotubes, etc.). The
advantages and drawbacks of the solution are shortly analyzed in the context of
its practical applications for MD simulations in materials science, physics and
nanotechnologies with available heterogeneous DCIs.
",2014-04-22T11:34:04Z,2014-04-22T11:34:04Z,http://arxiv.org/abs/1404.5458v1,http://arxiv.org/pdf/1404.5458v1,"Yuri Gordienko, Lev Bekenov, Olexandr Gatsenko, Elena Zasimchuk, Valentin Tatarenko","Unknown, Unknown, Unknown, Unknown, Unknown",,cs.CE,"cond-mat.mtrl-sci, cs.DC"
http://arxiv.org/abs/2103.10489v1,"Addressing Hate Speech with Data Science: An Overview from Computer
  Science Perspective","  From a computer science perspective, addressing on-line hate speech is a
challenging task that is attracting the attention of both industry (mainly
social media platform owners) and academia. In this chapter, we provide an
overview of state-of-the-art data-science approaches - how they define hate
speech, which tasks they solve to mitigate the phenomenon, and how they address
these tasks. We limit our investigation mostly to (semi-)automatic detection of
hate speech, which is the task that the majority of existing computer science
works focus on. Finally, we summarize the challenges and the open problems in
the current data-science research and the future directions in this field. Our
aim is to prepare an easily understandable report, capable to promote the
multidisciplinary character of hate speech research. Researchers from other
domains (e.g., psychology and sociology) can thus take advantage of the
knowledge achieved in the computer science domain but also contribute back and
help improve how computer science is addressing that urgent and socially
relevant issue which is the prevalence of hate speech in social media.
",2021-03-18T19:19:44Z,2021-03-18T19:19:44Z,http://arxiv.org/abs/2103.10489v1,http://arxiv.org/pdf/2103.10489v1,"Ivan Srba, Gabriele Lenzini, Matus Pikuliak, Samuel Pecar","Unknown, Unknown, Unknown, Unknown",,cs.CY,cs.CL
http://arxiv.org/abs/0706.0484v1,"Motivation, Design, and Ubiquity: A Discussion of Research Ethics and
  Computer Science","  Modern society is permeated with computers, and the software that controls
them can have latent, long-term, and immediate effects that reach far beyond
the actual users of these systems. This places researchers in Computer Science
and Software Engineering in a critical position of influence and
responsibility, more than any other field because computer systems are vital
research tools for other disciplines. This essay presents several key ethical
concerns and responsibilities relating to research in computing. The goal is to
promote awareness and discussion of ethical issues among computer science
researchers. A hypothetical case study is provided, along with questions for
reflection and discussion.
",2007-06-04T17:17:44Z,2007-06-04T17:17:44Z,http://arxiv.org/abs/0706.0484v1,http://arxiv.org/pdf/0706.0484v1,David R. Wright,Unknown,,cs.GL,K.7.4
http://arxiv.org/abs/2407.08102v1,Dynamics of Gender Bias within Computer Science,"  A new dataset (N = 7,456) analyzes women's research authorship in the
Association for Computing Machinery's founding 13 Special Interest Groups or
SIGs, a proxy for computer science. ACM SIGs expanded during 1970-2000; each
experienced increasing women's authorship. But diversity abounds. Several SIGs
had fewer than 10% women authors while SIGUCCS (university computing centers)
exceeded 40%. Three SIGs experienced accelerating growth in women's authorship;
most, including a composite ACM, had decelerating growth. This research may
encourage reform efforts, often focusing on general education or workforce
factors (across the entity of ""computer science""), to examine under-studied
dynamics within computer science that shaped changes in women's participation.
",2024-07-11T00:14:21Z,2024-07-11T00:14:21Z,http://arxiv.org/abs/2407.08102v1,http://arxiv.org/pdf/2407.08102v1,Thomas J. Misa,Unknown,,cs.CY,
http://arxiv.org/abs/1904.01053v1,"Computer simulations in science and engineering - Concepts - Practices -
  Perspectives","  The ubiquitous presence of computer simulations in all kinds of research
areas evidence their role as the new driving force for the advancement of
science and engineering research. Nothing seems to escape the image of success
that computer simulations project onto the research community and the general
public. One simple way to illustrate this consists of asking ourselves how
would contemporary science and engineering look like without the use of
computer simulations. The answer would certainly diverge from the current image
we have of scientific and engineering research.
  As much as computer simulations are successful, they are also methods that
fail in their purpose of inquiring about the world; and as much as researchers
make use of them, computer simulations raise important questions that are at
the heart of contemporary science and engineering practice. In this respect,
computer simulations make a fantastic subject of research for the natural
sciences, the social sciences, engineering and, as in our case, also for
philosophy. Studies on computer simulations touch upon many different facets of
scientific and engineering research and evoke philosophically inclined
questions of interpretation with close ties to problems in experimental
settings and engineering applications (...)
",2019-03-09T15:26:05Z,2019-03-09T15:26:05Z,http://arxiv.org/abs/1904.01053v1,http://arxiv.org/pdf/1904.01053v1,Juan M. Durán,Unknown,,cs.OH,
http://arxiv.org/abs/1003.1930v1,Simulating Grover's Quantum Search in a Classical Computer,"  The rapid progress of computer science has been accompanied by a
corresponding evolution of computation, from classical computation to quantum
computation. As quantum computing is on its way to becoming an established
discipline of computing science, much effort is being put into the development
of new quantum algorithms. One of quantum algorithms is Grover algorithm, which
is used for searching an element in an unstructured list of N elements with
quadratic speed-up over classical algorithms. In this work, Quantum Computer
Language (QCL) is used to make a Grover's quantum search simulation in a
classical computer
",2010-03-09T17:02:21Z,2010-03-09T17:02:21Z,http://arxiv.org/abs/1003.1930v1,http://arxiv.org/pdf/1003.1930v1,"D. K. Ningtyas, A. B. Mutiara","Unknown, Unknown",,cs.OH,
http://arxiv.org/abs/0911.1672v1,Biological Computing Fundamentals and Futures,"  The fields of computing and biology have begun to cross paths in new ways. In
this paper a review of the current research in biological computing is
presented. Fundamental concepts are introduced and these foundational elements
are explored to discuss the possibilities of a new computing paradigm. We
assume the reader to possess a basic knowledge of Biology and Computer Science
",2009-11-09T13:16:01Z,2009-11-09T13:16:01Z,http://arxiv.org/abs/0911.1672v1,http://arxiv.org/pdf/0911.1672v1,"Balaji Akula, James Cusick","Unknown, Unknown",,cs.CE,q-bio.OT
http://arxiv.org/abs/1909.03033v1,"The Difficulties of Addressing Interdisciplinary Challenges at the
  Foundations of Data Science","  The National Science Foundation's Transdisciplinary Research in Principles of
Data Science (TRIPODS) program aims to integrate three areas central to the
foundations of data by uniting the statistics, mathematics, and theoretical
computer science research communities. The program aims to provide a model for
funding cross-cutting research and facilitating interactions among the three
disciplines. Challenges associated with orchestrating fruitful interactions are
described.
",2019-09-04T06:07:26Z,2019-09-04T06:07:26Z,http://arxiv.org/abs/1909.03033v1,http://arxiv.org/pdf/1909.03033v1,Michael W. Mahoney,Unknown,,cs.CY,
http://arxiv.org/abs/1406.2222v1,The Chemistry Between High School Students and Computer Science,"  Computer science enrollments have started to rise again, but the percentage
of women undergraduates in computer science is still low. Some studies indicate
this might be due to a lack of awareness of computer science at the high school
level. We present our experiences running a 5-year, high school outreach
program that introduces information about computer science within the context
of required chemistry courses. We developed interactive worksheets using
Molecular Workbench that help the students learn chemistry and computer science
concepts related to relevant events such as the gulf oil spill. Our evaluation
of the effectiveness of this approach indicates that the students do become
more aware of computer science as a discipline, but system support issues in
the classroom can make the approach difficult for teachers and discouraging for
the students.
",2014-06-09T15:44:41Z,2014-06-09T15:44:41Z,http://arxiv.org/abs/1406.2222v1,http://arxiv.org/pdf/1406.2222v1,"Timothy T. Lenczycki, Kelly Suto, Christina Williams, Michelle Mills Strout","Unknown, Unknown, Unknown, Unknown",,cs.CY,K.3.2
http://arxiv.org/abs/1210.6636v1,"Informaticology: combining Computer Science, Data Science, and Fiction
  Science","  Motivated by an intention to remedy current complications with Dutch
terminology concerning informatics, the term informaticology is positioned to
denote an academic counterpart of informatics where informatics is conceived of
as a container for a coherent family of practical disciplines ranging from
computer engineering and software engineering to network technology, data
center management, information technology, and information management in a
broad sense.
  Informaticology escapes from the limitations of instrumental objectives and
the perspective of usage that both restrict the scope of informatics. That is
achieved by including fiction science in informaticology and by ranking fiction
science on equal terms with computer science and data science, and framing (the
study of) game design, evelopment, assessment and distribution, ranging from
serious gaming to entertainment gaming, as a chapter of fiction science. A
suggestion for the scope of fiction science is specified in some detail.
  In order to illustrate the coherence of informaticology thus conceived, a
potential application of fiction to the ontology of instruction sequences and
to software quality assessment is sketched, thereby highlighting a possible
role of fiction (science) within informaticology but outside gaming.
",2012-10-24T19:24:59Z,2012-10-24T19:24:59Z,http://arxiv.org/abs/1210.6636v1,http://arxiv.org/pdf/1210.6636v1,Jan A. Bergstra,Unknown,,cs.SE,
http://arxiv.org/abs/2210.13526v1,"Computational Inference in Cognitive Science: Operational, Societal and
  Ethical Considerations","  Emerging research frontiers and computational advances have gradually
transformed cognitive science into a multidisciplinary and data-driven field.
As a result, there is a proliferation of cognitive theories investigated and
interpreted from different academic lens and in different levels of
abstraction. We formulate this applied aspect of this challenge as the
computational cognitive inference, and describe the major routes of
computational approaches. To balance the potential optimism alongside the speed
and scale of the data-driven era of cognitive science, we propose to inspect
this trend in more empirical terms by identifying the operational challenges,
societal impacts and ethical guidelines in conducting research and interpreting
results from the computational inference in cognitive science.
",2022-10-24T18:27:27Z,2022-10-24T18:27:27Z,http://arxiv.org/abs/2210.13526v1,http://arxiv.org/pdf/2210.13526v1,Baihan Lin,Unknown,,q-bio.NC,"cs.AI, cs.CL, cs.HC, cs.LG"
http://arxiv.org/abs/quant-ph/0511274v1,Quantum Computation: A Computer Science Perspective,"  The theory of quantum computation is presented in a self contained way from a
computer science perspective. The basics of classical computation and quantum
mechanics is reviewed. The circuit model of quantum computation is presented in
detail. Throughout there is an emphasis on the physical as well as the abstract
aspects of computation and the interplay between them.
  This report is presented as a Master's thesis at the department of Computer
Science and Engineering at G{\""o}teborg University, G{\""o}teborg, Sweden.
  The text is part of a larger work that is planned to include chapters on
quantum algorithms, the quantum Turing machine model and abstract approaches to
quantum computation.
",2005-11-30T20:36:54Z,2005-11-30T20:36:54Z,http://arxiv.org/abs/quant-ph/0511274v1,http://arxiv.org/pdf/quant-ph/0511274v1,Anders K. H. Bengtsson,Unknown,,quant-ph,
